DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Mike Scott,Virginia,79.0,237.0,8,1,Forward,76ers,2012,2,43,3.8,0.5,2.6,0.054,5005350.0,32,8
Collin Sexton,Alabama,73.0,190.0,2,2,Guard,Cavaliers,2018,1,8,24.0,4.3,2.8,0.112,6633636.0,22,2
Landry Shamet,Wichita State,76.0,190.0,2,20,Guard,Nets,2018,1,26,7.8,1.1,1.8,0.059,3806818.3333333335,24,2
Pascal Siakam,New Mexico State,81.0,230.0,4,43,Forward,Raptors,2016,1,27,19.8,4.7,7.3,0.117,34226304.0,27,4
Chris Silva,South Carolina,80.0,234.0,1,30,Forward,Heat,Undrafted,Undrafted,Undrafted,2.7,0.5,2.3,0.077,1842959.3333333333,24,1
Ben Simmons,Louisiana State,83.0,240.0,3,25,Guard-Forward,76ers,2016,1,1,16.1,7.6,8.0,0.134,35448672.0,24,4
Anfernee Simons,Edgewater HS (FL),75.0,181.0,2,1,Guard,Trail Blazers,2018,1,24,8.0,1.4,2.3,0.077,3983136.6666666665,22,2
Alen Smailagic,Beko,82.0,215.0,1,6,Forward,Warriors,2019,2,39,1.7,0.0,0.0,-0.197,1743761.0,20,1
Marcus Smart,Oklahoma State,75.0,220.0,6,36,Guard,Celtics,2014,1,6,12.8,5.4,2.8,0.09,13892856.5,27,6
Ish Smith,Wake Forest,72.0,175.0,10,14,Guard,Wizards,Undrafted,Undrafted,Undrafted,5.2,4.7,3.5,0.094,6000000.0,32,10
Tony Snell,New Mexico,78.0,213.0,7,19,Guard,Hawks,2013,1,20,5.6,1.4,2.3,0.072,12178571.0,29,7
Edmond Sumner,Xavier,76.0,196.0,3,5,Guard,Pacers,2017,2,52,4.9,0.4,1.4,0.06,2240000.0,25,3
Jayson Tatum,Duke,80.0,210.0,3,0,Forward-Guard,Celtics,2017,1,3,24.9,4.3,6.8,0.145,27160160.0,23,3
Jeff Teague,Wake Forest,75.0,195.0,11,55,Guard,Celtics,2009,1,19,6.6,2.2,1.6,0.068,510589.0,33,11
Garrett Temple,Louisiana State,77.0,195.0,10,17,Guard-Forward,Bulls,Undrafted,Undrafted,Undrafted,8.5,2.0,3.1,0.056,4767000.0,35,11
Daniel Theis,Brose Bamberg,80.0,245.0,3,27,Forward-Center,Celtics,Undrafted,Undrafted,Undrafted,9.4,1.6,5.3,0.094,5000000.0,29,3
Isaiah Thomas,Washington,69.0,185.0,8,4,Guard,,2011,2,60,18.1,5.0,2.5,0.09315472779369628,110998.0,32,8
Matt Thomas,Iowa State,76.0,190.0,1,21,Guard,Raptors,Undrafted,Undrafted,Undrafted,2.6,0.4,0.8,0.058,1842959.3333333333,26,1
Klay Thompson,Washington State,78.0,215.0,8,11,Guard,Warriors,2011,1,11,21.5,2.4,3.8,0.103,39290400.0,31,9
Tristan Thompson,Texas,81.0,254.0,9,13,Center-Forward,Celtics,2011,1,4,7.9,1.0,8.4,0.106,9489450.0,30,9
Matisse Thybulle,Washington,77.0,201.0,1,22,Guard-Forward,76ers,2019,1,20,3.7,1.0,1.7,0.05,4051707.25,24,1
Myles Turner,Texas,83.0,250.0,5,33,Center-Forward,Pacers,2015,1,11,13.2,1.0,6.5,0.094,18000000.0,25,5
Jonas Valanciunas,Lietuvos rytas Vilnius,83.0,265.0,8,17,Center,Grizzlies,2011,1,5,15.9,1.8,12.3,0.152,14500000.0,29,8
Denzel Valentine,Michigan State,76.0,220.0,3,45,Guard,Bulls,2016,1,14,7.4,1.7,3.9,0.095,4642800.0,27,4
Fred VanVleet,Wichita State,73.0,197.0,4,23,Guard,Raptors,Undrafted,Undrafted,Undrafted,20.1,6.5,4.4,0.118,21250000.0,27,4
Jarred Vanderbilt,Kentucky,81.0,214.0,2,8,Forward,Timberwolves,2018,2,41,5.6,1.4,5.6,0.107,1871843.5,22,2
Gabe Vincent,California-Santa Barbara,75.0,200.0,1,2,Guard,Heat,Undrafted,Undrafted,Undrafted,5.9,1.3,1.2,0.053,1669178.0,25,1
Nikola Vucevic,Southern California,83.0,260.0,9,9,Center,Magic,2011,1,16,24.5,3.8,11.7,0.172,24000000.0,30,9
Dean Wade,Kansas State,81.0,228.0,1,32,Forward-Center,Cavaliers,Undrafted,Undrafted,Undrafted,4.1,0.8,2.3,0.083,1743761.0,24,1
Moritz Wagner,Michigan,83.0,245.0,2,21,Forward-Center,Wizards,2018,1,25,7.1,1.3,2.9,0.094,2161920.0,24,2
Kemba Walker,Connecticut,72.0,184.0,9,8,Guard,Celtics,2011,1,9,17.7,4.6,3.6,0.114,36016200.0,31,9
John Wall,Kentucky,75.0,210.0,9,1,Guard,Rockets,2010,1,1,21.1,6.3,3.5,0.118,44310840.0,30,10
Brad Wanamaker,Pittsburgh,75.0,210.0,2,10,Guard,Warriors,Undrafted,Undrafted,Undrafted,4.7,2.5,1.7,0.07,2531250.0,31,2
Tremont Waters,Louisiana State,70.0,175.0,1,51,Guard,Celtics,2019,2,51,3.0,2.7,0.7,0.088,1669178.0,23,1
Paul Watson,Fresno State,78.0,210.0,1,1,Guard,Raptors,Undrafted,Undrafted,Undrafted,2.6,0.4,1.3,0.044,1758093.6666666667,26,1
Quinndary Weatherspoon,Mississippi State,75.0,205.0,1,15,Guard,Spurs,2019,2,49,0.8,0.5,0.4,-0.011,1669178.0,24,1
Russell Westbrook,UCLA,75.0,200.0,12,4,Guard,Wizards,2008,1,4,21.7,10.3,9.5,0.146,44211146.0,32,12
Coby White,North Carolina,77.0,195.0,1,0,Guard,Bulls,2019,1,7,15.2,4.7,4.6,0.087,7191627.25,21,1
Derrick White,Colorado,76.0,190.0,3,4,Guard,Spurs,2017,1,29,12.8,3.4,2.4,0.076,14703256.8,27,3
Hassan Whiteside,Marshall,84.0,265.0,8,20,Center,Kings,2010,2,33,8.0,0.6,5.8,0.118,1620564.0,32,10
Andrew Wiggins,Kansas,79.0,197.0,6,22,Forward,Warriors,2014,1,1,17.7,2.1,4.6,0.095,31579390.0,26,6
Grant Williams,Tennessee,78.0,236.0,1,12,Forward,Celtics,2019,1,22,5.0,0.9,2.9,0.043,3914584.0,22,1
