DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Ed Davis,North Carolina,81.0,218.0,10,17,Center-Forward,Timberwolves,2010,1,13,2.3,1.0,5.1,0.073,5005350.0,32,10
Terence Davis,Mississippi,76.0,201.0,1,0,Guard,Raptors,Undrafted,Undrafted,Undrafted,7.0,1.1,2.0,0.075,1707728.5,24,1
DeMar DeRozan,Southern California,78.0,220.0,11,10,Guard-Forward,Spurs,2009,1,9,20.6,7.4,4.5,0.144,27739975.0,31,11
Matthew Dellavedova,St.Mary's College of California,75.0,200.0,7,18,Guard,Cavaliers,Undrafted,Undrafted,Undrafted,3.1,3.2,1.3,0.059,1620564.0,30,7
Hamidou Diallo,Kentucky,77.0,202.0,2,6,Guard,Pistons,2018,2,45,11.9,2.4,5.2,0.103,1871843.5,22,2
Gorgui Dieng,Louisville,82.0,252.0,7,14,Center,Grizzlies,2013,1,21,7.9,1.3,4.5,0.124,1000000.0,31,7
Spencer Dinwiddie,Colorado,77.0,215.0,6,26,Guard,Nets,2014,2,38,6.7,3.0,4.3,0.102,11878272.0,28,6
Luka Doncic,Real Madrid,79.0,230.0,2,77,Forward-Guard,Mavericks,2018,1,3,29.0,9.2,8.4,0.187,10524184.0,22,2
Luguentz Dort,Arizona State,75.0,215.0,1,5,Guard,Thunder,Undrafted,Undrafted,Undrafted,12.6,1.6,3.5,0.056,1743761.0,22,1
Damyean Dotson,Houston,77.0,210.0,3,21,Guard,Cavaliers,2017,2,44,6.7,2.2,1.9,0.077,2000000.0,27,3
Sekou Doumbouya,Limoges,80.0,230.0,1,45,Forward,Pistons,2019,1,15,3.9,0.6,2.2,0.036,5086862.75,20,1
PJ Dozier,South Carolina,78.0,205.0,3,35,Guard-Forward,Nuggets,Undrafted,Undrafted,Undrafted,7.7,1.6,3.8,0.087,1836828.0,24,3
Goran Dragic,Union Olimpija,75.0,190.0,12,7,Guard,Heat,2008,2,45,13.9,4.9,3.3,0.102,18720000.0,35,12
Andre Drummond,Connecticut,82.0,279.0,8,3,Center,Cavaliers,2012,1,9,17.5,2.6,13.5,0.153,554988.0,27,8
Jared Dudley,Boston College,78.0,237.0,13,10,Forward,Lakers,2007,1,22,0.5,0.5,1.7,0.057,1620564.0,35,13
Kris Dunn,Providence,75.0,205.0,4,32,Guard,Hawks,2016,1,5,7.3,3.4,3.6,0.082,4886175.0,27,4
Kevin Durant,Texas,82.0,240.0,12,7,Forward,Nets,2007,1,2,29.0,5.3,7.3,0.163,42018900.0,32,13
Carsen Edwards,Purdue,71.0,200.0,1,4,Guard,Celtics,2019,2,33,5.1,0.6,1.1,0.076,1743761.0,23,1
Wayne Ellington,North Carolina,76.0,207.0,11,8,Guard,Pistons,2009,1,28,10.6,1.4,1.8,0.073,1620564.0,33,11
Joel Embiid,Kansas,84.0,280.0,4,21,Center-Forward,76ers,2014,1,3,29.9,3.3,11.5,0.211,31579390.0,27,6
Drew Eubanks,Oregon State,81.0,245.0,2,14,Forward-Center,Spurs,Undrafted,Undrafted,Undrafted,4.6,0.9,3.2,0.089,1764740.0,24,2
Dante Exum,Australian Institute of Sport,77.0,214.0,5,5,Guard,Rockets,2014,1,5,3.8,2.2,2.8,0.058,9600000.0,25,6
Tacko Fall,Central Florida,89.0,311.0,1,99,Center,Celtics,Undrafted,Undrafted,Undrafted,2.9,0.2,2.4,0.094,1669178.0,25,1
Derrick Favors,Georgia Tech,81.0,265.0,10,15,Forward,Jazz,2010,1,3,5.9,0.9,5.3,0.111,9720900.0,29,10
Cristiano Felicio,Flamengo,83.0,270.0,5,6,Forward-Center,Bulls,Undrafted,Undrafted,Undrafted,1.6,0.7,1.7,0.166,7529020.0,28,5
Bruno Fernando,Maryland,81.0,240.0,1,24,Forward-Center,Hawks,2019,2,34,1.5,0.4,3.0,0.073,1842959.3333333333,22,1
Bryn Forbes,Michigan State,74.0,205.0,4,7,Guard,Bucks,Undrafted,Undrafted,Undrafted,9.5,0.6,1.2,0.068,2395573.5,27,4
Evan Fournier,Poitiers Basket 86,79.0,205.0,8,10,Guard-Forward,Magic,2012,1,20,19.6,3.7,3.0,0.107,17450000.0,28,8
De'Aaron Fox,Kentucky,75.0,185.0,3,5,Guard,Kings,2017,1,5,23.8,7.4,3.4,0.116,26800661.4,23,3
Markelle Fultz,Washington,75.0,209.0,3,20,Guard,Magic,2017,1,1,12.9,5.4,3.1,0.081,15572174.25,23,3
Wenyen Gabriel,Kentucky,81.0,205.0,1,32,Forward,Pelicans,Undrafted,Undrafted,Undrafted,0.2,0.3,1.2,0.0,1691680.0,24,2
Daniel Gafford,Arkansas,82.0,234.0,1,12,Forward-Center,Bulls,2019,2,38,4.8,0.6,3.3,0.099,1743761.0,22,1
Danilo Gallinari,Olimpia Milano,82.0,233.0,11,8,Forward,Hawks,2008,1,6,12.8,1.5,3.9,0.11,20475000.0,32,12
Langston Galloway,St. Joseph's (PA),73.0,200.0,6,2,Guard,Suns,Undrafted,Undrafted,Undrafted,5.1,0.8,1.0,0.09,1620564.0,29,6
Darius Garland,Vanderbilt,73.0,192.0,1,10,Guard,Cavaliers,2019,1,5,16.4,5.8,2.2,0.09,8627842.25,21,1
Marc Gasol,FC Barcelona,83.0,255.0,12,14,Center,Lakers,2007,2,48,4.8,2.0,4.1,0.071,2628872.0,36,12
Rudy Gay,Connecticut,80.0,250.0,14,22,Forward-Guard,Spurs,2006,1,8,10.9,1.5,4.9,0.105,14500000.0,34,14
Paul George,Fresno State,80.0,220.0,10,13,Forward,Clippers,2010,1,10,22.5,5.5,6.0,0.144,42343112.8,31,10
Taj Gibson,USC,81.0,232.0,11,67,Forward,Knicks,2009,1,26,4.2,0.5,4.5,0.073,1442968.0,36,11
Rudy Gobert,Cholet,85.0,258.0,7,27,Center,Jazz,2013,1,27,14.5,1.3,13.4,0.158,37174021.8,29,7
Brandon Goodwin,Florida Gulf Coast,72.0,180.0,2,0,Guard,Hawks,Undrafted,Undrafted,Undrafted,3.9,1.6,1.0,0.062,1914292.0,25,2
Aaron Gordon,Arizona,80.0,235.0,6,00,Forward,Magic,2014,1,4,14.6,4.3,6.6,0.11,17272727.5,25,6
Eric Gordon,Indiana,75.0,215.0,12,10,Guard,Rockets,2008,1,7,17.8,2.6,2.1,0.097,18893589.0,32,12
Devonte' Graham,Kansas,73.0,195.0,2,4,Guard,Hornets,2018,2,34,13.1,5.2,2.7,0.09,3199981.5,26,2
Jerami Grant,Syracuse,80.0,210.0,6,9,Forward,Pistons,2014,2,39,23.3,2.8,5.0,0.117,20002500.0,27,6
Danny Green,North Carolina,78.0,215.0,11,14,Guard,76ers,2009,2,46,9.2,1.7,3.6,0.064,15365853.0,34,11
Draymond Green,Michigan State,78.0,230.0,8,23,Forward,Warriors,2012,2,35,6.1,8.4,6.6,0.097,24916590.0,31,8
JaMychal Green,Alabama,80.0,227.0,6,0,Forward-Center,Nuggets,Undrafted,Undrafted,Undrafted,8.7,0.8,5.5,0.095,7379754.0,31,6
Javonte Green,Radford,76.0,205.0,1,43,Guard-Forward,Celtics,Undrafted,Undrafted,Undrafted,4.2,0.4,2.1,0.069,1707728.5,27,1
Jeff Green,Georgetown,80.0,235.0,12,8,Forward,Nets,2007,1,5,9.8,1.5,3.8,0.073,1620564.0,34,13
Blake Griffin,Oklahoma,81.0,250.0,10,2,Forward,Nets,2009,1,1,11.6,3.5,5.0,0.085,776873.0,32,11
Rui Hachimura,Gonzaga,80.0,230.0,1,8,Forward,Wizards,2019,1,9,13.4,1.5,5.8,0.085,6089702.0,23,1
James Harden,Arizona State,77.0,220.0,11,13,Guard,Nets,2009,1,3,25.3,11.2,7.9,0.17,44310840.0,31,11
Maurice Harkless,St. John's,79.0,220.0,8,8,Forward-Guard,Heat,2012,1,15,1.4,0.6,1.2,0.023,3623000.0,28,8
Jared Harper,Auburn,70.0,175.0,1,0,Guard,Knicks,Undrafted,Undrafted,Undrafted,0.7,0.0,0.0,-0.022,1669178.0,23,1
Montrezl Harrell,Louisville,79.0,240.0,5,15,Forward-Center,Lakers,2015,2,32,14.8,1.1,6.6,0.153,9489450.0,27,5
Gary Harris,Michigan State,76.0,210.0,6,14,Guard,Nuggets,2014,1,19,9.7,1.7,2.5,0.052,19821428.5,26,6
Joe Harris,Virginia,78.0,220.0,6,12,Guard-Forward,Nets,2014,2,33,14.7,1.8,3.5,0.085,18000000.0,29,6
Tobias Harris,Tennessee,80.0,226.0,9,12,Forward,76ers,2011,1,19,20.8,3.6,7.7,0.147,36814500.0,28,9
Josh Hart,Villanova,77.0,215.0,3,3,Guard,Pelicans,2017,1,30,9.1,2.2,7.6,0.097,4363949.0,26,3
Isaiah Hartenstein,Zalgiris,84.0,250.0,2,25,Center-Forward,Nuggets,2017,2,43,3.5,0.5,2.8,0.077,1691680.0,23,2
Udonis Haslem,Florida,80.0,235.0,17,40,Forward,Heat,Undrafted,Undrafted,Undrafted,3.0,0.3,4.0,0.105,1620564.0,41,17
Jaxson Hayes,Texas,83.0,220.0,1,10,Center-Forward,Pelicans,2019,1,8,5.5,0.5,3.5,0.105,6606728.0,21,1
Gordon Hayward,Butler,79.0,225.0,10,20,Forward,Hornets,2010,1,9,20.4,4.2,5.6,0.125,30000000.0,31,10
John Henson,North Carolina,81.0,219.0,8,31,Forward-Center,Pistons,2012,1,14,7.6,1.1,5.3,0.09315472779369628,110998.0,30,7
Juancho Hernangomez,Estudiantes,81.0,214.0,4,41,Forward,Timberwolves,2016,1,15,6.2,0.6,4.2,0.079,7012440.0,25,4
Willy Hernangomez,Cajasol Sevilla,83.0,250.0,4,9,Center-Forward,Pelicans,2015,2,35,6.3,1.2,6.2,0.112,1620564.0,27,4
Tyler Herro,Kentucky,77.0,195.0,1,14,Guard,Heat,2019,1,13,15.1,3.4,5.4,0.099,5365580.5,21,1
Buddy Hield,Oklahoma,76.0,220.0,4,24,Guard,Kings,2016,1,6,16.9,3.3,4.6,0.078,21802418.5,28,4
George Hill,Indiana-Purdue Indianapolis,76.0,188.0,12,3,Guard,Thunder,2008,1,26,11.8,3.1,2.1,0.101,9818949.5,35,12
Solomon Hill,Arizona,78.0,226.0,7,18,Forward,Hawks,2013,1,23,4.2,0.9,2.3,0.038,1620564.0,30,7
Aaron Holiday,UCLA,72.0,185.0,2,3,Guard,Pacers,2018,1,23,6.9,1.7,1.2,0.045,4039297.6666666665,24,2
Jrue Holiday,UCLA,75.0,205.0,11,21,Guard,Bucks,2009,1,17,15.9,5.2,4.6,0.118,32997217.0,31,11
Justin Holiday,Washington,78.0,180.0,7,8,Forward-Guard,Pacers,Undrafted,Undrafted,Undrafted,11.6,1.7,3.9,0.072,6006420.0,32,8
Richaun Holmes,Bowling Green,82.0,235.0,5,22,Forward,Kings,2015,2,37,13.9,1.8,8.8,0.119,5005350.0,27,5
Rodney Hood,Duke,80.0,208.0,6,5,Guard-Forward,Trail Blazers,2014,1,23,4.7,1.2,1.9,0.031,10449348.0,28,6
Al Horford,Florida,81.0,240.0,13,42,Center-Forward,Thunder,2007,1,3,14.3,3.3,6.7,0.128,27000000.0,35,13
Dwight Howard,SW Atlanta Christian Academy (GA),82.0,265.0,16,39,Center-Forward,76ers,2004,1,1,6.6,0.8,8.2,0.119,1620564.0,35,16
Kevin Huerter,Maryland,79.0,190.0,2,3,Guard-Forward,Hawks,2018,1,19,11.9,3.6,3.7,0.077,4360188.0,22,2
De'Andre Hunter,Virginia,80.0,225.0,1,12,Forward-Guard,Hawks,2019,1,4,16.7,2.2,5.2,0.114,9501702.0,23,1
Chandler Hutchison,Boise State,78.0,210.0,2,15,Forward-Guard,Bulls,2018,1,22,1.9,0.6,2.9,0.042,4094358.6666666665,25,2
Serge Ibaka,Ricoh Manresa,82.0,235.0,11,9,Forward,Clippers,2008,1,24,10.9,1.7,6.7,0.112,9489450.0,31,11
Andre Iguodala,Arizona,78.0,215.0,16,28,Guard-Forward,Heat,2004,1,9,4.7,2.1,3.6,0.081,15000000.0,37,16
Ersan Ilyasova,FC Barcelona,81.0,235.0,12,7,Forward,Jazz,2005,2,36,0.0,1.0,0.0,0.0,754783.0,34,14
Joe Ingles,Maccabi Tel Aviv,80.0,220.0,6,2,Forward-Guard,Jazz,Undrafted,Undrafted,Undrafted,12.3,4.2,3.6,0.123,11950000.5,33,6
Brandon Ingram,Duke,80.0,190.0,4,14,Forward,Pelicans,2016,1,2,24.2,4.7,5.1,0.133,31650600.0,23,4
Kyrie Irving,Duke,74.0,195.0,9,11,Guard,Nets,2011,1,1,28.1,5.7,4.8,0.15,35053700.0,29,9
Jonathan Isaac,Florida State,83.0,230.0,3,1,Forward,Magic,2017,1,6,11.9,1.4,6.8,0.108,15392513.2,23,3
Frank Jackson,Duke,75.0,205.0,2,5,Guard,Pistons,2017,2,31,5.2,0.8,1.4,0.08,1789256.0,23,3
Josh Jackson,Kansas,80.0,207.0,3,20,Guard-Forward,Pistons,2017,1,4,13.2,2.1,4.2,0.085,4886175.0,24,3
Reggie Jackson,Boston College,74.0,208.0,9,1,Guard,Clippers,2011,1,24,8.7,2.8,2.6,0.082,1620564.0,31,9
Justin James,Wyoming,79.0,190.0,1,10,Guard-Forward,Kings,2019,2,40,2.1,0.5,0.5,0.051,1842959.3333333333,24,1
LeBron James,St. Vincent-St. Mary HS (OH),81.0,250.0,17,23,Forward,Lakers,2003,1,1,25.4,7.9,7.9,0.194,41625032.666666664,36,17
DaQuan Jeffries,Tulsa,77.0,230.0,1,19,Guard-Forward,Kings,Undrafted,Undrafted,Undrafted,3.9,0.3,1.6,0.036,1758093.6666666667,23,1
Ty Jerome,Virginia,77.0,195.0,1,16,Guard-Forward,Thunder,2019,1,24,9.9,3.6,3.5,0.091,3776415.0,23,1
Cameron Johnson,North Carolina,80.0,210.0,1,23,Forward,Suns,2019,1,11,10.3,1.4,3.3,0.09,5655148.25,25,1
James Johnson,Wake Forest,79.0,240.0,11,16,Forward,Mavericks,2009,1,16,5.7,1.7,3.0,0.077,16047100.0,34,11
Keldon Johnson,Kentucky,77.0,220.0,1,3,Forward-Guard,Spurs,2019,1,29,13.9,2.0,6.5,0.1,3469080.75,21,1
Stanley Johnson,Arizona,78.0,242.0,5,5,Forward-Guard,Raptors,2015,1,8,2.9,1.2,2.2,0.047,3804150.0,25,5
Tyler Johnson,Fresno State,75.0,186.0,6,10,Guard,Nets,Undrafted,Undrafted,Undrafted,5.2,0.9,1.8,0.065,1620564.0,29,6
Nikola Jokic,Mega Basket,83.0,284.0,5,15,Center,Nuggets,2014,2,41,27.1,8.6,11.3,0.205,31579390.0,26,5
Tyus Jones,Duke,72.0,196.0,5,21,Guard,Grizzlies,2015,1,24,7.5,4.3,2.2,0.114,8596714.5,25,5
DeAndre Jordan,Texas A&M,83.0,265.0,12,6,Center,Nets,2008,2,35,7.6,1.7,7.5,0.108,10026372.666666666,32,12
Cory Joseph,Texas,75.0,200.0,9,9,Guard,Kings,2011,1,29,6.7,2.4,2.2,0.058,12600000.0,29,9
Frank Kaminsky,Wisconsin,84.0,240.0,5,8,Forward-Center,Suns,2015,1,9,6.6,1.6,3.7,0.11,1620564.0,28,5
Enes Kanter,Fenerbahce,82.0,250.0,9,11,Center,Trail Blazers,2011,1,3,12.1,1.3,11.6,0.137,5005350.0,29,9
Luke Kennard,Duke,77.0,206.0,3,5,Guard,Clippers,2017,1,12,8.0,1.8,2.7,0.087,12254765.2,25,3
Maxi Kleber,Bayern Munich,82.0,240.0,3,42,Forward,Mavericks,Undrafted,Undrafted,Undrafted,7.8,1.4,5.4,0.082,8741666.666666666,29,3
John Konchar,Indiana-Purdue Fort Wayne,77.0,210.0,1,46,Guard,Grizzlies,Undrafted,Undrafted,Undrafted,4.0,1.1,3.3,0.082,2250000.0,25,1
Furkan Korkmaz,Anadolu Efes,79.0,202.0,3,30,Guard-Forward,76ers,2016,1,26,9.2,1.1,2.2,0.084,1762796.0,23,3
Luke Kornet,Vanderbilt,86.0,250.0,3,2,Forward-Center,Bulls,Undrafted,Undrafted,Undrafted,2.0,0.3,1.2,0.08,2250000.0,25,3
Rodions Kurucs,FC Barcelona,81.0,228.0,2,00,Forward,Bucks,2018,2,40,1.0,0.4,0.9,0.021,1820610.0,23,2
Kyle Kuzma,Utah,82.0,221.0,3,0,Forward,Lakers,2017,1,27,12.1,1.5,6.7,0.1,10640544.5,25,3
Zach LaVine,UCLA,77.0,200.0,6,8,Guard-Forward,Bulls,2014,1,13,28.2,4.9,5.1,0.146,19500000.0,26,6
Jeremy Lamb,Connecticut,77.0,180.0,8,26,Guard-Forward,Pacers,2012,1,12,11.1,1.6,3.6,0.104,10500000.0,29,8
Romeo Langford,Indiana,76.0,216.0,1,45,Guard-Forward,Celtics,2019,1,14,2.5,0.4,1.3,0.024,5226767.0,21,1
Jake Layman,Maryland,80.0,209.0,4,10,Forward,Timberwolves,2016,2,47,6.1,0.8,1.9,0.077,3850634.5,27,4
Caris LeVert,Michigan,78.0,205.0,4,22,Guard,Pacers,2016,1,20,17.3,5.3,4.2,0.115,17500000.0,26,4
Damion Lee,Louisville,77.0,210.0,3,1,Guard-Forward,Warriors,Undrafted,Undrafted,Undrafted,6.7,1.4,3.3,0.095,1836828.0,28,3
Alex Len,Maryland,84.0,250.0,7,27,Center,Wizards,2013,1,5,6.1,0.9,3.6,0.099,1265372.0,28,7
Kawhi Leonard,San Diego State,79.0,225.0,9,2,Forward,Clippers,2011,1,15,25.9,4.9,6.3,0.169,35197650.0,30,9
Damian Lillard,Weber State,74.0,195.0,8,0,Guard,Trail Blazers,2012,1,6,30.1,7.7,4.4,0.165,41578421.0,30,8
Nassir Little,North Carolina,77.0,220.0,1,9,Forward-Guard,Trail Blazers,2019,1,25,5.3,0.4,2.6,0.074,3706608.0,21,1
Kevon Looney,UCLA,81.0,222.0,5,5,Forward,Warriors,2015,1,30,3.9,1.6,4.2,0.093,5000000.5,25,5
Brook Lopez,Stanford,84.0,282.0,12,11,Center,Bucks,2008,1,10,11.4,0.7,5.0,0.078,13302325.333333334,33,12
Robin Lopez,Stanford,84.0,281.0,12,15,Center,Wizards,2008,1,15,8.2,0.9,4.1,0.084,7300000.0,33,12
Kevin Love,UCLA,80.0,251.0,12,0,Forward-Center,Cavaliers,2008,1,5,5.8,1.3,3.3,0.074,30486447.333333332,32,12
Kyle Lowry,Villanova,72.0,196.0,14,7,Guard,Raptors,2006,1,24,17.6,7.4,5.6,0.117,30500000.0,35,14
Trey Lyles,Kentucky,81.0,234.0,5,41,Forward,Spurs,2015,1,12,5.0,0.6,3.8,0.1,5500000.0,25,5
Terance Mann,Florida State,77.0,215.0,1,14,Guard-Forward,Clippers,2019,2,48,5.3,1.2,3.4,0.08,1743761.0,24,1
Boban Marjanovic,Crvena zvezda,88.0,290.0,5,51,Center,Mavericks,Undrafted,Undrafted,Undrafted,4.4,0.2,3.9,0.15,3500000.0,32,5
Lauri Markkanen,Arizona,84.0,240.0,3,24,Forward-Center,Bulls,2017,1,7,17.7,0.9,6.0,0.112,7879180.0,24,3
Caleb Martin,Nevada-Reno,77.0,205.0,1,10,Forward,Hornets,Undrafted,Undrafted,Undrafted,5.3,1.1,2.6,0.076,1843141.0,25,1
Cody Martin,Nevada-Reno,77.0,205.0,1,11,Forward,Hornets,2019,2,36,3.8,1.2,2.4,0.091,1843141.0,25,1
Kelan Martin,Butler,77.0,230.0,1,21,Forward,Pacers,Undrafted,Undrafted,Undrafted,1.3,0.1,0.9,0.066,1758093.6666666667,25,1
Garrison Mathews,Lipscomb,77.0,215.0,1,24,Guard,Wizards,Undrafted,Undrafted,Undrafted,6.7,0.4,1.7,0.063,1669178.0,24,1
Wesley Matthews,Marquette,76.0,220.0,11,9,Guard,Lakers,Undrafted,Undrafted,Undrafted,4.5,1.0,1.4,0.035,3623000.0,34,11
Patrick McCaw,UNLV,79.0,181.0,4,22,Guard,Raptors,2016,2,38,1.0,0.8,0.6,0.057,4000000.0,25,4
CJ McCollum,Lehigh,75.0,190.0,7,3,Guard,Trail Blazers,2013,1,10,23.8,4.3,3.8,0.131,32338538.0,29,7
Jalen McDaniels,San Diego State,81.0,205.0,1,6,Forward-Center,Hornets,2019,2,52,4.5,0.5,2.4,0.049,1743761.0,23,1
Doug McDermott,Creighton,79.0,225.0,6,20,Forward,Pacers,2014,1,11,13.6,1.4,3.9,0.096,7333333.0,29,6
JaVale McGee,Nevada-Reno,84.0,270.0,12,6,Center-Forward,Cavaliers,2008,1,18,8.0,1.0,5.2,0.126,4200000.0,33,12
Rodney McGruder,Kansas State,76.0,205.0,4,17,Guard,Pistons,Undrafted,Undrafted,Undrafted,5.6,1.0,1.4,0.092,5096153.5,29,4
Alfonzo McKinnie,Wisconsin-Green Bay,79.0,215.0,3,28,Forward,Lakers,Undrafted,Undrafted,Undrafted,2.5,0.1,1.1,0.103,1946318.0,28,3
Jordan McLaughlin,Southern California,71.0,185.0,1,6,Guard,Timberwolves,Undrafted,Undrafted,Undrafted,5.4,4.7,2.3,0.099,1669178.0,25,1
Ben McLemore,Kansas,75.0,195.0,7,16,Guard,Rockets,2013,1,7,6.6,0.9,2.2,0.05,455090.0,28,7
Nicolo Melli,Fenerbahce,81.0,236.0,1,20,Forward,Pelicans,Undrafted,Undrafted,Undrafted,2.0,1.1,2.6,0.058,4384615.5,30,1
De'Anthony Melton,Southern California,74.0,200.0,2,0,Guard,Grizzlies,2018,2,46,9.6,2.9,3.4,0.115,8656922.0,23,2
Khris Middleton,Texas A&M,79.0,222.0,8,22,Forward,Bucks,2012,2,39,20.4,5.5,6.0,0.127,36724138.0,29,8
Darius Miller,Kentucky,78.0,225.0,5,12,Forward,Thunder,2012,2,46,3.4,1.1,1.4,0.115,7000000.0,31,8
Patty Mills,St.Mary's College of California,73.0,180.0,11,8,Guard,Spurs,2009,2,55,12.9,2.5,1.8,0.095,13535714.0,32,11
Paul Millsap,Louisiana Tech,79.0,257.0,14,4,Forward,Nuggets,2006,2,47,9.5,1.6,5.0,0.09,10000000.0,36,14
Shake Milton,Southern Methodist,77.0,205.0,2,18,Guard-Forward,76ers,2018,2,54,13.8,3.1,2.3,0.098,1848683.0,24,2
Donovan Mitchell,Louisville,73.0,215.0,3,45,Guard,Jazz,2017,1,13,25.4,5.5,4.6,0.127,26219836.2,24,3
Adam Mokoka,Mega Basket,76.0,190.0,1,20,Guard,Bulls,Undrafted,Undrafted,Undrafted,1.4,0.4,0.4,0.047,1669178.0,22,1
Malik Monk,Kentucky,75.0,200.0,3,1,Guard,Hornets,2017,1,11,12.3,1.8,2.7,0.093,6331966.5,23,3
E'Twaun Moore,Purdue,75.0,191.0,9,55,Guard,Suns,2011,2,55,4.3,1.5,1.8,0.055,1620564.0,32,9
Ja Morant,Murray State,75.0,174.0,1,12,Guard,Grizzlies,2019,1,2,19.3,7.5,3.3,0.114,11676367.25,21,1
Juwan Morgan,Indiana,79.0,232.0,1,16,Forward,Jazz,Undrafted,Undrafted,Undrafted,0.9,0.2,0.8,0.035,1707728.5,24,1
Markieff Morris,Kansas,81.0,245.0,9,88,Forward,Lakers,2011,1,13,6.1,1.1,4.2,0.078,1620564.0,31,9
Monte Morris,Iowa State,74.0,183.0,3,11,Guard,Nuggets,2017,2,51,10.4,3.4,2.2,0.089,7274676.75,26,3
Dejounte Murray,Washington,76.0,180.0,3,5,Guard,Spurs,2016,1,29,15.6,5.1,7.0,0.125,16000000.0,24,4
Jamal Murray,Kentucky,75.0,215.0,4,27,Guard,Nuggets,2016,1,7,21.1,4.8,4.0,0.115,31650600.0,24,4
Mike Muscala,Bucknell,82.0,240.0,7,33,Forward-Center,Thunder,2013,2,44,9.7,0.8,3.8,0.112,2283034.0,30,7
Svi Mykhailiuk,Kansas,79.0,205.0,2,14,Guard-Forward,Thunder,2018,2,47,7.0,1.6,2.1,0.077,1871843.5,24,2
Abdel Nader,Iowa State,77.0,225.0,3,11,Forward,Suns,2016,2,58,6.7,0.8,2.6,0.092,1752950.0,27,3
Raul Neto,Murcia,73.0,180.0,5,19,Guard,Wizards,2013,2,47,7.7,2.2,2.2,0.081,1620564.0,29,5
Georges Niang,Iowa State,79.0,230.0,4,31,Forward,Jazz,2016,2,50,5.0,0.7,2.2,0.061,1783557.0,28,4
Nerlens Noel,Kentucky,83.0,220.0,6,3,Center-Forward,Knicks,2013,1,6,4.8,0.6,6.0,0.083,5000000.0,27,7
Jaylen Nowell,Washington,76.0,201.0,1,4,Guard,Timberwolves,2019,2,43,10.5,1.4,2.2,0.09,1743761.0,21,1
Frank Ntilikina,Strasbourg IG,76.0,200.0,3,11,Guard,Knicks,2017,1,8,4.3,0.8,1.2,0.037,7251302.5,22,3
Kendrick Nunn,Oakland,74.0,190.0,1,25,Guard,Heat,Undrafted,Undrafted,Undrafted,13.3,2.6,3.2,0.09,3199981.5,25,2
Jusuf Nurkic,Cedevita,83.0,290.0,6,27,Center,Trail Blazers,2014,1,16,9.8,2.8,7.7,0.103,12444444.5,26,6
David Nwaba,Cal Poly-Obispo,77.0,219.0,4,2,Guard-Forward,Rockets,Undrafted,Undrafted,Undrafted,9.2,1.0,3.9,0.089,1824003.0,28,4
Royce O'Neale,Baylor,76.0,226.0,3,23,Forward,Jazz,Undrafted,Undrafted,Undrafted,7.5,2.6,6.6,0.072,9000000.0,28,3
Semi Ojeleye,Southern Methodist,78.0,240.0,3,37,Forward,Celtics,2017,2,37,5.4,0.8,3.0,0.063,1752950.0,26,3
Jahlil Okafor,Duke,82.0,270.0,5,13,Center-Forward,Pistons,2015,1,3,4.3,0.3,2.3,0.1,2006445.0,25,5
